N,Time
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.009997367858886719
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.00999903678894043
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.009525060653686523
315,0.0
316,0.0
317,0.0
318,0.0
319,0.01009511947631836
320,0.0007357597351074219
321,0.0009975433349609375
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.010009050369262695
328,0.0
329,0.0
330,0.0
331,0.007917404174804688
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.010057926177978516
338,0.0
339,0.0
340,0.0010135173797607422
341,0.0
342,0.0
343,0.0
344,0.0
345,0.010076284408569336
346,0.0
347,0.0
348,0.0
349,0.0
350,0.009999752044677734
351,0.0
352,0.0
353,0.0
354,0.0
355,0.009999752044677734
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.01000070571899414
377,0.0
378,0.0
379,0.0
380,0.0
381,0.009999513626098633
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.009998798370361328
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.009999513626098633
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0010712146759033203
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.01000666618347168
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.010000228881835938
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.009999752044677734
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.010085344314575195
444,0.0
445,0.0
446,0.0
447,0.0100555419921875
448,0.0
449,0.0
450,0.0
451,0.011142253875732422
452,0.0
453,0.0
454,0.0
455,0.010006904602050781
456,0.0
457,0.0
458,0.0
459,0.012047052383422852
460,0.0013821125030517578
461,0.0
462,0.0009989738464355469
463,0.0
464,0.0
465,0.009896516799926758
466,0.0009982585906982422
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.010039567947387695
473,0.00102996826171875
474,0.0
475,0.010051727294921875
476,0.003001689910888672
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.010277986526489258
485,0.0024700164794921875
486,0.0
487,0.013827800750732422
488,0.0032629966735839844
489,0.0009987354278564453
490,0.00438380241394043
491,0.0
492,0.0
493,0.0
494,0.010429143905639648
495,0.0
496,0.0027337074279785156
497,0.006116628646850586
498,0.015755176544189453
499,0.0017621517181396484
500,0.0
